"","R2","p.value"
"10_32_19_2",0.412761797601877,1.33633098764087e-238
"11_19_15_11",0.374134055673175,8.24029391179601e-214
"10_32_19_3",0.37684962944943,1.04289822384449e-211
"11_19_15_5",0.362413670093917,2.25076373963922e-205
"10_32_19_6",0.363114356372417,7.82601109811644e-202
"11_19_15_10",0.33740424117939,7.03620248096088e-188
"11_19_15_1",0.336911689098971,1.53188657181389e-187
"11_19_15_9",0.278690597632624,2.83993369908119e-149
"11_19_15_4",0.256153770558419,2.77252014523489e-135
"10_32_19_4",0.259145276299547,2.15838953945096e-133
"11_19_15_8",0.25025607489543,1.08109641952232e-131
"10_32_19_1",0.238316326041612,7.40014700951451e-121
"11_19_15_6",0.231986377543706,9.57773216662943e-121
"11_19_15_7",0.199747544214128,4.7718336679033e-102
"10_32_19_8",0.155946416976337,1.65504490828677e-74
"09_31_20_1",0.131388419758738,1.42177449852302e-62
"16_12_09",0.122247840248593,7.01911113117552e-59
"09_31_20_2",0.0904836398734217,6.07601962832717e-41
"10_32_19_5",0.0702443531434506,4.11021503207994e-31
"08_20_16_2",0.068645651986903,2.39409966539842e-30
"07_17_14_3",0.0524220835305206,1.1156103739996e-22
"08_20_16_1",0.0516859412504375,2.46076886721078e-22
"07_17_14_2",0.0488140474196134,5.33977077600344e-21
"08_22_18",0.0417329735769408,9.89106421600354e-18
"06_16_13_6",0.0246259746684004,4.94958763271915e-13
"09_31_20_5",0.0307875973204599,9.10254124990444e-13
"11_19_15_3",0.0246298606074187,4.57530559059317e-12
"07_17_14_1",0.0217233253153685,9.26709043569096e-09
"06_16_13_7",0.0153656671644278,1.2335936146959e-08
"10_32_19_7",0.02140268228295,1.27783211064335e-08
"11_19_15_2",0.0133395951820091,7.82675967595634e-07
"09_31_20_4",0.0141498343381183,1.60020094887795e-05
"09_31_20_3",0.00680152065588031,0.0139207970310755
"06_16_13_3",0.00281721998920252,0.0150637620940134
