"","Estimate","p.value"
"11_19_15_11=11_19_15_11_1",1.34002236895469,3.13031659825851e-172
"11_19_15_1=11_19_15_1_1",1.51468060438399,8.17368352118721e-171
"11_19_15_5=11_19_15_5_1",1.2758926720014,4.53354070674487e-167
"11_19_15_10=11_19_15_10_1",1.2945618719104,6.89401061106659e-162
"11_19_15_9=11_19_15_9_1",1.19024968733348,1.69861556713664e-126
"11_19_15_4=11_19_15_4_1",1.364817094884,7.4258606056134e-121
"11_19_15_8=11_19_15_8_1",1.01567369354101,4.40789881416284e-110
"11_19_15_6=11_19_15_6_1",0.940739563857117,2.89647306793034e-98
"11_19_15_7=11_19_15_7_1",0.833605559119946,7.90448265187355e-86
"10_32_19_3=10_32_19_3_5",1.47354637906207,6.73375760674275e-57
"10_32_19_4=10_32_19_4_2",1.50711795037621,4.13342378547338e-55
"10_32_19_6=10_32_19_6_3",0.762171440547156,6.85416493818941e-42
"10_32_19_1=10_32_19_1_3",1.34384707475462,9.0838643867669e-33
"10_32_19_1=10_32_19_1_2",0.161186874537052,3.30289025375672e-30
"10_32_19_2=10_32_19_2_3",0.213127377139113,2.26568213471236e-29
"10_32_19_2=10_32_19_2_4",0.334716554072409,1.97471128162313e-26
"10_32_19_5=10_32_19_5_3",0.907576815762578,9.53509269569599e-26
"10_32_19_6=10_32_19_6_4",1.97033238817352,2.20570380387947e-25
"09_31_20_1=09_31_20_1_3",0.774644346503028,1.38100331016068e-24
"10_32_19_2=10_32_19_2_5",0.869565525684199,9.58984033772571e-24
"07_17_14_3=07_17_14_3_3",0.731037924013865,1.25068479090747e-23
"16_12_09=16_12_09_2",0.0164712869094935,4.19669704754985e-23
"10_32_19_8=10_32_19_8_3",1.09067082281952,7.45344938813333e-23
"10_32_19_3=10_32_19_3_4",0.689164012901245,3.40296768225636e-22
"10_32_19_1=10_32_19_1_4",1.66921366300556,1.61633087452525e-17
"16_12_09=16_12_09_3",0.449643224739844,4.46853132314076e-16
"07_17_14_2=07_17_14_2_3",0.684476025409593,8.34809939848592e-15
"10_32_19_8=10_32_19_8_2",0.652172980312796,4.08702109393995e-14
"08_20_16_2=08_20_16_2_3",0.575639459417113,8.39502561912893e-14
"10_32_19_3=10_32_19_3_3",0.656368960971838,1.41887208194296e-13
"06_16_13_6=06_16_13_6_1",0.485603807133368,4.94958763271742e-13
"08_20_16_2=08_20_16_2_5",0.571421406286523,5.19727006139413e-12
"11_19_15_3=11_19_15_3_1",0.714495018665729,9.01946532134183e-12
"08_20_16_1=08_20_16_1_5",1.25331415557089,2.79166922712102e-11
"09_31_20_2=09_31_20_2_3",0.616657430405403,4.16277975019199e-11
"08_20_16_1=08_20_16_1_3",1.23888946869936,6.12744560461104e-11
"10_32_19_4=10_32_19_4_1",0.986941275865129,2.56985843459616e-09
"06_16_13_7=06_16_13_7_1",0.360080775289988,1.23359361469495e-08
"09_31_20_1=09_31_20_1_4",0.469666666414743,1.41409556379009e-08
"11_19_15_5=11_19_15_5.NA",0.389004933318317,8.21272875804561e-08
"11_19_15_2=11_19_15_2_1",0.65188267212475,1.16913990361091e-07
"09_31_20_2=09_31_20_2_5",0.884251337041495,1.20439804999065e-07
"09_31_20_2=09_31_20_2_4",0.622275905188671,1.36450702929144e-07
"08_20_16_1=08_20_16_1_2",0.0536929441028189,1.84466823887738e-06
"09_31_20_5=09_31_20_5_2",0.124535444596098,8.0011485992618e-06
"10_32_19_6=10_32_19_6_5",0.96450862625597,2.59397765077882e-05
"10_32_19_8=10_32_19_8_5",1.61223325629611,2.67547586684309e-05
"07_17_14_1=07_17_14_1_3",0.756090109000478,4.75747043737589e-05
"11_19_15_9=11_19_15_9.NA",0.226056168020718,8.92617234007478e-05
"09_31_20_1=09_31_20_1_5",0.598666546920557,0.000100866536393389
"11_19_15_4=11_19_15_4.NA",0.00316433333382515,0.00012791577557542
"09_31_20_5=09_31_20_5_3",0.245863430176382,0.000197820884513493
"10_32_19_8=10_32_19_8_4",1.15684138923125,0.000249001196762664
"08_20_16_1=08_20_16_1_4",0.166079313558177,0.00035859132624156
"10_32_19_1=10_32_19_1_5",1.01954497225586,0.000458407758369192
"11_19_15_6=11_19_15_6.NA",0.408085752296275,0.000973106484580679
"07_17_14_1=07_17_14_1_2",0.376846687370426,0.00104138911393139
"10_32_19_4=10_32_19_4_3",0.126030206490216,0.00109523989543328
"09_31_20_4=09_31_20_4_3",0.0906617303310465,0.00138839646566186
"08_22_18=08_22_18_4",0.262900989532294,0.00160841538963954
"09_31_20_3=09_31_20_3_2",0.250371308475988,0.0020757818308197
"08_22_18=08_22_18_3",0.27842063427992,0.00237977179033124
"08_22_18=08_22_18_5",0.176537597274789,0.00578258311540231
"11_19_15_7=11_19_15_7.NA",0.452444101638787,0.00653923958848842
"10_32_19_7=10_32_19_7_1",0.154071264591947,0.00681907618294165
"06_16_13_3=06_16_13_3_1",0.167405670463355,0.0150637620940146
