"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"survey_label             ",2,48.5557149776785,24.2778574888393,21.5797106093768,4.95630578781857e-10
"`07_17_14_2`             ",4,2737.039266054,684.259816513499,608.213835540252,0
"`07_17_14_3`             ",4,793.710046894059,198.427511723515,176.37504800004,8.64086604016725e-136
"`07_17_14_1`             ",4,272.518684495217,68.1296711238044,60.5580038287803,3.00980581648605e-49
"`08_20_16_2`             ",4,674.944809422142,168.736202355535,149.983515548339,4.90391974037627e-117
"`08_22_18`               ",4,303.6734553314,75.91836383285,67.4810914514766,9.62134252363392e-55
"`08_20_16_1`             ",4,149.864577488762,37.4661443721904,33.3023024611079,3.25189951064548e-27
"`09_31_20_1`             ",4,1611.43294388778,402.858235971944,358.086134778371,4.3342701395729e-252
"`06_16_13_2`             ",1,76.096134752156,76.096134752156,67.6391056005897,2.89578673123611e-16
"`06_16_13_4`             ",1,150.993825519809,150.993825519809,134.212957630966,2.17070143112252e-30
"`06_16_13_1`             ",1,20.9411762044517,20.9411762044517,18.6138551360959,1.65249042397128e-05
"`09_31_20_3`             ",4,977.054563203408,244.263640800852,217.117127543002,9.96996319087274e-164
"survey_label:`07_17_14_2`",8,6.93433555489012,0.866791944361264,0.770460050951942,0.628921948359819
"survey_label:`07_17_14_3`",8,8.50627028682351,1.06328378585294,0.945114551599009,0.47769382508935
"survey_label:`07_17_14_1`",8,6.23718852311507,0.779648565389384,0.69300144898919,0.698112283036394
"survey_label:`08_20_16_2`",6,5.78947107929459,0.964911846549099,0.857675287931038,0.525346824475755
"survey_label:`08_22_18`  ",8,4.37270747901471,0.546588434876838,0.485842717072407,0.867074263938722
"survey_label:`08_20_16_1`",6,2.47337566731416,0.412229277885693,0.36641571545492,0.900501136695504
"survey_label:`09_31_20_1`",8,23.7049436397231,2.96311795496539,2.63380852280712,0.00710099757019018
"survey_label:`06_16_13_2`",2,0.121589819780929,0.0607949098904646,0.0540383994989043,0.94739665307308
"survey_label:`06_16_13_4`",2,10.6073941212192,5.3036970606096,4.71426474845945,0.0090333222611651
"survey_label:`06_16_13_1`",2,1.15617769995442,0.578088849977208,0.51384229826501,0.598245625134709
"survey_label:`09_31_20_3`",8,15.3167313970124,1.91459142462654,1.7018111626048,0.0928880581976172
"Residuals                ",2985,3358.21948292003,1.12503165256953,NA,NA
