region,country,code,
AsiaSEAsia,Afghanistan,1,
Europe,Albania,2,
MENA,Algeria,3,
Europe,Andorra,4,
SubSAfrica,Angola,5,
Latin America,Antigua and Barbuda,6,
Latin America,Argentina,7,
Russia/FSU,Armenia,8,
AustraliaNZO,Australia,9,
Europe,Austria,10,
Russia/FSU,Azerbaijan,11,
Latin America,Bahamas,12,
MENA,Bahrain,13,
AsiaSEAsia,Bangladesh,14,
Latin America,Barbados,15,
Russia/FSU,Belarus,16,
Europe,Belgium,17,
Latin America,Belize,18,
SubSAfrica,Benin,19,
AsiaSEAsia,Bhutan,20,
Latin America,Bolivia,21,
Europe,Bosnia and Herzegovina,22,
SubSAfrica,Botswana,23,
Latin America,Brazil,24,
AsiaSEAsia,Brunei Darussalam,25,
Europe,Bulgaria,26,
SubSAfrica,Burkina Faso,27,
SubSAfrica,Burundi,28,
SubSAfrica,Cape Verde,32,
AsiaSEAsia,Cambodia,29,
SubSAfrica,Cameroon,30,
USCanada,Canada,31,
SubSAfrica,Central African Republic,33,
SubSAfrica,Chad,34,
Latin America,Chile,35,
AsiaSEAsia,China,36,
Latin America,Colombia,37,
SubSAfrica,Comoros,38,
SubSAfrica,Congo,39,
Latin America,Costa Rica,40,
SubSAfrica,Côte d'Ivoire,41,
Europe,Croatia,42,
Latin America,Cuba,43,
Europe,Cyprus,44,
Europe,Czech Republic,45,
AsiaSEAsia,Democratic People's Republic of Korea,46,
SubSAfrica,Democratic Republic of the Congo,47,
Europe,Denmark,48,
SubSAfrica,Djibouti,49,
Latin America,Dominica,50,
Latin America,Dominican Republic,51,
Latin America,Ecuador,52,
MENA,Egypt,53,
Latin America,El Salvador,54,
SubSAfrica,Equatorial Guinea,55,
SubSAfrica,Eritrea,56,
Europe,Estonia,57,
SubSAfrica,Eswatini formerly Swaziland,,
SubSAfrica,Ethiopia,58,
AustraliaNZO,Fiji,59,
Europe,Finland,60,
Europe,Macedonia,61,
Europe,France,62,
SubSAfrica,Gabon,63,
SubSAfrica,Gambia,64,
Russia/FSU,Georgia,65,
Europe,Germany,66,
SubSAfrica,Ghana,67,
Europe,Gibraltar,,
Europe,Greece,68,
Latin America,Grenada,69,
Latin America,Guatemala,70,
SubSAfrica,Guinea,71,
SubSAfrica,Guinea-Bissau,72,
Latin America,Guyana,73,
Latin America,Haiti,74,
Latin America,Honduras,75,
Europe,Hungary,76,
Europe,Iceland,77,
AsiaSEAsia,India,78,
AsiaSEAsia,Indonesia,79,
MENA,Iran,80,
MENA,Iraq,81,
Europe,Ireland,82,
MENA,Israel,83,
Europe,Italy,84,
Latin America,Jamaica,85,
AsiaSEAsia,Japan,86,
MENA,Jordan,87,
Russia/FSU,Kazakhstan,88,
SubSAfrica,Kenya,89,
AustraliaNZO,Kiribati,,
Europe,Kosovo,,
MENA,Kuwait,90,
Russia/FSU,Kyrgyzstan,91,
AsiaSEAsia,Laos,92,
Europe,Latvia,93,
MENA,Lebanon,94,
SubSAfrica,Lesotho,95,
SubSAfrica,Liberia,96,
MENA,Libya,97,
Europe,Liechtenstein,98,
Europe,Lithuania,99,
Europe,Luxembourg,100,
SubSAfrica,Madagascar,101,
SubSAfrica,Malawi,102,
AsiaSEAsia,Malaysia,104,
AsiaSEAsia,Maldives,105,
SubSAfrica,Mali,106,
Europe,Malta,107,
AustraliaNZO,Marshall Islands,108,
MENA,Mauritania,109,
Latin America,Mexico,111,
AustraliaNZO,Micronesia,112,
Europe,Monaco,113,
AsiaSEAsia,Mongolia,114,
Europe,Montenegro,115,
MENA,Morocco,116,
SubSAfrica,Mozambique,117,
AsiaSEAsia,Myanmar,118,
SubSAfrica,Namibia,119,
AsiaSEAsia,Nepal,120,
Europe,Netherlands,121,
AustraliaNZO,New Zealand,122,
Latin America,Nicaragua,123,
SubSAfrica,Niger,124,
SubSAfrica,Nigeria,125,
Europe,Norway,126,
MENA,Oman,127,
AsiaSEAsia,Pakistan,128,
AustraliaNZO,Palau,129,
Latin America,Panama,130,
AustraliaNZO,Papua New Guinea,131,
Latin America,Paraguay,132,
Latin America,Peru,133,
AsiaSEAsia,Philippines,134,
Europe,Poland,135,
Europe,Portugal,136,
MENA,Qatar,137,
AsiaSEAsia,Republic of Korea,138,
Russia/FSU,Republic of Moldova,139,
Europe,Romania,140,
Russia/FSU,Russian Federation,141,
SubSAfrica,Rwanda,142,
Latin America,Saint Kitts and Nevis,143,
Latin America,Saint Lucia,144,
Latin America,Saint Vincent and the Grenadines,145,
AustraliaNZO,Samoa,146,
Europe,San Marino,147,
SubSAfrica,Sao Tome and Principe,148,
MENA,Saudi Arabia,149,
SubSAfrica,Senegal,150,
Europe,Serbia,151,
SubSAfrica,Seychelles,152,
SubSAfrica,Sierra Leone,153,
AsiaSEAsia,Singapore,154,
Europe,Slovakia,155,
Europe,Slovenia,156,
AustraliaNZO,Solomon Islands,157,
SubSAfrica,Somalia,158,
SubSAfrica,South Africa,159,
Europe,Spain,160,
AsiaSEAsia,Sri Lanka,161,
SubSAfrica,Sudan,162,
SubSAfrica,South Sudan,163,
Latin America,Suriname,164,
SubSAfrica,Swaziland,165,
Europe,Sweden,166,
Europe,Switzerland,167,
MENA,Syrian Arab Republic,168,
AsiaSEAsia,Taiwan,169,
Russia/FSU,Tajikistan,170,
AsiaSEAsia,Thailand,171,
SubSAfrica,Togo,172,
Latin America,Trinidad and Tobago,173,
MENA,Tunisia,174,
Europe,Turkey,175,
Russia/FSU,Turkmenistan,176,
SubSAfrica,Uganda,177,
Russia/FSU,Ukraine,178,
MENA,United Arab Emirates,179,
Europe,United Kingdom,180,
SubSAfrica,United Republic of Tanzania,181,
USCanada,United States of America,182,
Latin America,Uruguay,183,
Russia/FSU,Uzbekistan,184,
AustraliaNZO,Vanuatu,185,
Latin America,Venezuela,186,
AsiaSEAsia,Vietnam,187,
MENA,Yemen,188,
SubSAfrica,Zambia,189,
SubSAfrica,Zimbabwe,190,
