counter,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q2,Q2_text,Q3,Q3_text,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_text,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_text,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_text,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q11a_1,Q11a_2,Q11a_3,Q11a_4,Q11a_5,Q11a_6,Q11a_7,Q11a_8,Q11a_9,Q11a_10,Q11a_11,Q11a_12,Q11b_1,Q11b_2,Q11b_3,Q11b_4,Q11b_5,Q11b_6,Q11b_7,Q11b_8,Q11b_9,Q11b_10,Q11b_11,Q11b_12,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_text,Q13,Q14_text,Q15,Q15_text,Q16,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q17_10,Q17_text,Q19,Q19_text,Q20,Q21,Q22,Q23
1,15,5,0,75,5,0, ,government, ,Ecology, ,No,Yes,No,No,No,No,No,No,No,No, ,some,none,none,none,none,none,none, ,No,Yes,No,Yes,Yes,No,No,No,No, ,agree strongly,agree somewhat,neither agree nor disagree,agree strongly,disagree somewhat,agree strongly,agree somewhat,disagree somewhat,disagree strongly,disagree strongly,neither agree nor disagree,agree somewhat,neither agree nor disagree,neither agree nor disagree,disagree strongly,neither agree nor disagree,neither agree nor disagree,agree somewhat,neither agree nor disagree,agree somewhat,neither agree nor disagree,agree somewhat,agree somewhat,agree somewhat,agree somewhat,neither agree nor disagree,disagree somewhat,agree somewhat,agree strongly,agree somewhat,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No, ,No,Collaborators and funding agencies,Federal/national government, ,Yes,No,No,No,No,No,No,No,No,No,No, ,Other,Research Ecologist,United States of America,Louisiana,36,Male
2,40, , ,60, , , ,government, ,Biology, ,No,Yes,No,No,No,Yes,No,No,No,No, ,all, ,all, , , , , ,No,No,No,No,No,No,No,No,No, ,disagree somewhat,disagree strongly,disagree strongly,agree somewhat,agree somewhat,neither agree nor disagree,agree strongly,agree strongly,neither agree nor disagree,neither agree nor disagree,disagree somewhat,agree strongly,disagree strongly,disagree strongly,disagree strongly,disagree strongly,disagree strongly,agree somewhat,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,disagree somewhat,disagree strongly,agree strongly,disagree strongly,agree strongly,agree strongly,agree strongly, ,Yes,Yes,Yes,Yes,No,No,Yes,Yes, ,Yes,Yes, ,Yes,Yes,Yes,Yes,No,No, , , , , ,No,Yes,No,No,Yes,No,No,No,No,Yes,word document,Yes - for all my datasets, ,Federal/national government, ,No,No,No,No,No,No,Yes,No,No,Yes,No, ,Researcher, ,United States of America,Florida,45,Female
3,20,20,50,10, , , ,government, ,Environmental science, ,No,No,Yes,Yes,No,No,No,Yes,Yes,No, ,most,none,some,most,some,none, ,No personal or PI websites exist,No,Yes,No,Yes,No,No,No,No,No, ,agree somewhat,agree strongly,disagree somewhat,agree strongly,agree somewhat,agree strongly,agree strongly,agree strongly,disagree somewhat,disagree somewhat,agree somewhat,agree somewhat,agree strongly,agree somewhat,disagree somewhat,agree somewhat,agree somewhat,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree somewhat,disagree somewhat,agree strongly,agree strongly,neither agree nor disagree,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No, ,Yes - for some of my datasets, ,Federal/national government, ,No,No,No,No,No,No,No,No,No,No,Yes, ,Researcher, ,United States of America,Louisiana,38,Male
4,30,10, , , , ,Research,government, ,Ecology, ,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No, ,none,none,none,some,none,none, , ,Yes,Yes,No,No,No,No,Yes,No,No, ,agree somewhat,neither agree nor disagree,disagree somewhat,disagree somewhat,disagree strongly,agree somewhat,agree somewhat,disagree somewhat,disagree strongly,neither agree nor disagree,agree somewhat,agree somewhat,disagree somewhat,neither agree nor disagree,disagree somewhat,disagree strongly,disagree strongly,agree somewhat,agree somewhat,agree somewhat,agree somewhat,neither agree nor disagree,agree strongly,agree somewhat,disagree somewhat,agree somewhat,disagree somewhat,agree somewhat,agree strongly,agree strongly,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No, ,Yes - for some of my datasets, ,Federal/national government, ,Don't know,No,No,No,No,No,No,No,No,No,No, ,Researcher, ,United States of America,Washington,40,Male
5,20,20,0,55,5, , ,government, ,Biology, ,No,Yes,No,Yes,No,Yes,No,No,No,No, ,some,none,some,none,some,none, , ,No,No,No,No,No,No,No,No,No, ,agree strongly,agree strongly,agree strongly,agree strongly,neither agree nor disagree,agree strongly,agree strongly,agree somewhat,agree somewhat,agree somewhat,disagree strongly,disagree strongly,agree somewhat,neither agree nor disagree,disagree strongly,neither agree nor disagree,disagree somewhat,disagree somewhat,disagree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,disagree strongly,neither agree nor disagree,agree strongly,agree somewhat,agree strongly,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No, ,Yes - for all my datasets, ,Federal/national government, ,No,No,No,No,No,No,Yes,No,No,Yes,No, ,Researcher, ,United States of America,Maryland,51,Male
6,10,10,10,10,10,50,Program Development and Management,government, ,Environmental science, ,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No, ,none,none,most,most,most, ,some, ,Yes,No,No,Yes,No,No,No,No,No, ,agree somewhat, ,agree somewhat,agree somewhat,disagree strongly,neither agree nor disagree,agree strongly,agree somewhat,disagree somewhat,agree somewhat,agree somewhat,agree somewhat,neither agree nor disagree,disagree somewhat,neither agree nor disagree,neither agree nor disagree,disagree strongly,agree strongly,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,neither agree nor disagree,disagree somewhat,agree somewhat,agree strongly,agree strongly,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No, ,Yes - for all my datasets, ,Federal/national government, ,Yes,No,No,No,Yes,No,No,No,No,No,No, ,Administrator, ,United States of America,West Virginia,56,Male
7,70,5,5,20, , , ,government, ,Ecology, ,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No, ,some,some,some,some,none,some,some, ,Yes,No,No,Yes,Yes,Yes,No,No,No, ,agree strongly,agree strongly,agree strongly,agree somewhat,neither agree nor disagree,agree strongly,agree somewhat,neither agree nor disagree,disagree strongly,neither agree nor disagree,neither agree nor disagree,disagree somewhat,neither agree nor disagree,disagree somewhat,disagree somewhat,disagree strongly,disagree strongly,agree somewhat,agree somewhat,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,disagree strongly,agree strongly,neither agree nor disagree,agree somewhat,agree strongly,agree somewhat,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No, ,Yes - for all my datasets, ,Federal/national government, ,Yes,No,No,No,Yes,No,No,No,No,No,No, ,Administrator, ,United States of America,Pennsylvania,54,Male
8,20, , ,80, , , ,government, ,Biology, ,No,Yes,No,No,No,No,No,No,No,No, , , , , , , , , ,No,No,No,Yes,Yes,No,Yes,No,No, ,agree somewhat,disagree somewhat,neither agree nor disagree,agree somewhat,disagree somewhat,agree somewhat,agree somewhat,disagree strongly,neither agree nor disagree,neither agree nor disagree,disagree strongly,disagree strongly,disagree somewhat,disagree somewhat,disagree strongly,disagree strongly,disagree strongly,agree somewhat,neither agree nor disagree,agree strongly,agree strongly,agree strongly,agree somewhat,disagree somewhat,disagree strongly,agree strongly,neither agree nor disagree,disagree somewhat,agree somewhat,neither agree nor disagree,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No, ,Yes - for all my datasets, ,Federal/national government, ,No,No,No,No,No,No,No,No,No,No,No, ,Researcher, ,United States of America,Washington,44,Male
9,40, , ,60, , , ,government, ,Biology, ,No,Yes,No,No,No,No,No,No,No,No, ,some,none,none,none,none,none,most, ,Yes,No,No,Yes,No,No,No,No,No, ,agree somewhat,neither agree nor disagree,neither agree nor disagree,agree somewhat,agree somewhat,agree somewhat,agree somewhat,disagree somewhat,neither agree nor disagree,agree somewhat,agree somewhat,agree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,disagree strongly,disagree strongly,disagree somewhat,disagree strongly,agree somewhat,neither agree nor disagree,agree somewhat,agree somewhat,agree somewhat,disagree somewhat,disagree somewhat,neither agree nor disagree,agree somewhat,agree strongly,agree somewhat,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No, ,Yes - for all my datasets, ,Federal/national government, ,Don't know,No,No,No,Yes,No,No,No,No,No,No, ,Researcher, ,United States of America,Washington,62,Male
10,50, , ,50, , , ,government, ,Biology, ,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No, ,some,none,none,none,none,none,some,Data is available through publications,Yes,No,No,Yes,Yes,No,No,No,No, ,neither agree nor disagree,neither agree nor disagree,disagree somewhat,disagree somewhat,disagree somewhat,agree somewhat,agree somewhat,disagree somewhat,neither agree nor disagree,neither agree nor disagree,disagree somewhat,disagree somewhat,disagree strongly,disagree strongly,disagree strongly,disagree strongly,disagree strongly,agree somewhat,agree somewhat,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree somewhat,agree somewhat,neither agree nor disagree,agree somewhat,agree strongly,agree somewhat,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No, ,Yes - for some of my datasets, ,Federal/national government, ,No,No,No,No,No,No,No,No,No,Yes,No, ,Researcher, ,United States of America,Washington,50,Male
