name,Dim.1,Dim.2,coord,cos2,contrib,,,,,,,,,,,,
1,1.178610892,-2.185075818,6.163679965,0.079200708,0.032984758,,,,,,,,,,,,
2,0.92627846,0.201766583,0.89870154,0.009056284,0.004809376,,,,,,,,,,,,
3,-1.370223403,-0.534964278,2.163698951,0.033963965,0.011578973,,,,,,,,,,,,
4,1.584032857,-2.837085994,10.55821703,0.118837327,0.056501998,,,,,,,,,,,,
5,-0.503433021,1.495767671,2.490765731,0.027889775,0.013329262,,,,,,,,,,,,
6,-0.279078006,-1.83721711,3.453251243,0.050579213,0.018479976,,,,,,,,,,,,
7,0.871784721,-1.586624658,3.277386406,0.043658587,0.01753884,,,,,,,,,,,,
8,3.440327465,-1.208083657,13.29531919,0.10163481,0.071149522,,,,,,,,,,,,
9,2.183635976,0.171740011,4.797760709,0.056353243,0.02567508,,,,,,,,,,,,
10,-0.312714252,-3.135315035,9.927990575,0.159994024,0.053129359,,,,,,,,,,,,
11,-1.513402684,1.484805257,4.495034334,0.077350654,0.024055048,,,,,,,,,,,,
12,2.766565637,-2.401741424,13.42224729,0.149673078,0.071828774,,,,,,,,,,,,
13,0.195221905,0.25363457,0.102442087,0.001876943,0.000548216,,,,,,,,,,,,
14,2.9275534,4.104459776,25.41715897,0.158085786,0.136019203,,,,,,,,,,,,
15,3.486608576,-1.465824539,14.30508094,0.048958726,0.076553234,,,,,,,,,,,,
16,0.243757584,-0.940359735,0.943694191,0.011393904,0.005050153,,,,,,,,,,,,
18,-0.038044993,-2.216061844,4.912377518,0.066439013,0.026288449,,,,,,,,,,,,
20,-2.080969883,0.261109362,4.398613752,0.046283868,0.023539056,,,,,,,,,,,,
21,-4.764084974,3.032917813,31.8950961,0.029916081,0.170685699,,,,,,,,,,,,
22,-1.244463721,-0.234314126,1.603593062,0.020265125,0.008581583,,,,,,,,,,,,
23,-1.228974241,1.747855838,4.565377715,0.060015962,0.024431489,,,,,,,,,,,,
24,-0.827910974,0.217901311,0.732917562,0.006785561,0.003922187,,,,,,,,,,,,
25,-2.3001204,0.62071142,5.675836521,0.064482689,0.030374078,,,,,,,,,,,,
26,-2.730907279,-0.898423477,8.265019308,0.094335242,0.044230016,,,,,,,,,,,,
27,-0.928308923,0.174300576,0.892138148,0.010469951,0.004774252,,,,,,,,,,,,
28,0.491031571,-0.753081244,0.808243364,0.009237885,0.004325291,,,,,,,,,,,,
29,-2.932955587,-1.368002732,10.47365995,0.126856836,0.056049493,,,,,,,,,,,,
30,2.076846129,1.474677865,6.487964651,0.042614692,0.034720158,,,,,,,,,,,,
31,0.462266312,1.272472065,1.8328753,0.025631241,0.00980858,,,,,,,,,,,,
32,1.796404368,-2.069778203,7.511050464,0.079895979,0.040195173,,,,,,,,,,,,
34,0.092651167,-0.298093547,0.097444001,0.00116924,0.000521469,,,,,,,,,,,,
36,-0.647070251,1.110550281,1.652021836,0.018771755,0.008840748,,,,,,,,,,,,
37,-0.094192499,-0.074153781,0.01437101,0.000177948,7.69E-05,,,,,,,,,,,,
38,-2.484047378,-1.405894841,8.147031679,0.067705341,0.043598608,,,,,,,,,,,,
39,-0.989910372,-2.27530123,6.15691823,0.065901286,0.032948573,,,,,,,,,,,,
40,0.981594401,0.111882314,0.976045219,0.007571716,0.005223278,,,,,,,,,,,,
41,-1.956039899,-2.547227054,10.31445775,0.131687358,0.055197527,,,,,,,,,,,,
42,0.238471203,-1.425638605,2.089313947,0.025318939,0.011180904,,,,,,,,,,,,
43,-0.07839016,0.169569019,0.034898669,0.000606273,0.000186759,,,,,,,,,,,,
45,0.295190944,-0.364843558,0.220248515,0.003805179,0.001178654,,,,,,,,,,,,
47,-3.708729597,2.096457202,18.14980802,0.185097369,0.097128181,,,,,,,,,,,,
49,-1.284431606,-0.486842985,1.886780642,0.029054783,0.010097053,,,,,,,,,,,,
50,-0.380677091,-1.420550618,2.162879105,0.028509658,0.011574586,,,,,,,,,,,,
51,-2.494234033,1.520555423,8.533292205,0.108249175,0.04566567,,,,,,,,,,,,
53,-0.654800943,-2.454631511,6.453980132,0.084417551,0.034538291,,,,,,,,,,,,
56,-2.199207989,-3.096826085,14.42684758,0.123772589,0.077204864,,,,,,,,,,,,
57,1.186672953,-0.755270098,1.978625618,0.013138693,0.010588559,,,,,,,,,,,,
58,1.178322605,-1.476384546,3.56815549,0.054348078,0.019094883,,,,,,,,,,,,
59,-0.729596358,-3.634734203,13.74360357,0.091088698,0.073548503,,,,,,,,,,,,
60,0.92042785,-1.486076999,3.055612274,0.034031131,0.016352022,,,,,,,,,,,,
61,0.469251389,-0.070834182,0.225214347,0.002751326,0.001205228,,,,,,,,,,,,
62,-1.402175963,-3.221979466,12.34724911,0.179426797,0.066075952,,,,,,,,,,,,
64,2.170846115,-2.393593585,10.4418631,0.122858129,0.055879333,,,,,,,,,,,,
65,1.165554311,-0.848352912,2.078219514,0.022005693,0.011121533,,,,,,,,,,,,
69,2.843787926,0.999643855,9.086417608,0.116239904,0.048625705,,,,,,,,,,,,
71,1.060363332,-2.765634209,8.773102974,0.095525504,0.046949011,,,,,,,,,,,,
72,-1.351668015,-0.372637999,1.9658655,0.025832704,0.010520273,,,,,,,,,,,,
73,0.536336148,-3.015081068,9.378370312,0.126740209,0.050188082,,,,,,,,,,,,
74,1.270513112,3.179887263,11.72588657,0.094522917,0.062750748,,,,,,,,,,,,
75,-0.598666272,-0.039801652,0.359985477,0.004571798,0.001926452,,,,,,,,,,,,
78,-0.388679427,-1.454959817,2.267979767,0.027886467,0.012137029,,,,,,,,,,,,
79,2.601616865,-0.575936631,7.100113317,0.080145284,0.037996054,,,,,,,,,,,,
80,-0.114251709,0.345383322,0.132343092,0.001447558,0.00070823,,,,,,,,,,,,
82,-2.08701946,-0.916652727,5.19590245,0.064497196,0.027805724,,,,,,,,,,,,
84,1.114738769,-0.552429287,1.547820641,0.005062503,0.008283118,,,,,,,,,,,,
85,2.536202517,-1.041313781,7.516657599,0.05835214,0.040225179,,,,,,,,,,,,
87,-2.894857722,-3.423054183,20.09750117,0.254863272,0.107551206,,,,,,,,,,,,
89,2.390297968,-0.112410588,5.726160516,0.077216954,0.030643385,,,,,,,,,,,,
90,-1.400324244,-1.409843626,3.948567038,0.037690905,0.021130644,,,,,,,,,,,,
91,-0.240699826,1.493484001,2.288430867,0.004505515,0.012246473,,,,,,,,,,,,
97,-0.317564776,0.194198727,0.138560533,0.000894672,0.000741503,,,,,,,,,,,,
99,-0.267358511,-1.452888858,2.182366606,0.030957652,0.011678873,,,,,,,,,,,,
