"","16_12_09","06_16_13_1","06_16_13_2","06_16_13_3","06_16_13_4","06_16_13_5","06_16_13_6","06_16_13_7","07_17_14_1","07_17_14_2","07_17_14_3","08_20_16_1","08_20_16_2","08_22_18","09_31_20_1","09_31_20_2","09_31_20_3","09_31_20_4","09_31_20_5","10_32_19_1","10_32_19_2","10_32_19_3","10_32_19_4","10_32_19_5","10_32_19_6","10_32_19_7","10_32_19_8","11_19_15_1","11_19_15_2","11_19_15_3","11_19_15_4","11_19_15_5","11_19_15_6","11_19_15_7","11_19_15_8","11_19_15_9","11_19_15_10","11_19_15_11","work_sector","domain","funding_agency","region","survey_label","dim_1","dim_2","contrib","sl_10_32_19_2","sl_10_32_19_3","sl_11_19_15_7"
"1","1","2","1","2","1","1","2","2","1","4","5","3","2","5","2","3","2","3","2","2","2","2","3","4","2","1","2","1","1","1","1","1","2","1","1","2","2","1","2","Natural science","Federal/national government","USACanada","S1",1.17861089152231,-2.18507581829789,0.0329847579562028,"S1_2","S1_2","S1_1"
"2","2","2","2","2","2","2","2","2","2","2","3","4","1","5","2","1","1","1","1","1","4","5","1","5","1","1","1",NA,"1","1","1","1","2","1","1",NA,"1","1","2","Natural science","Federal/national government","USACanada","S1",0.926278460054167,0.201766583000621,0.00480937571784184,"S1_4","S1_5","S1_1"
"3","2","2","1","2","1","2","2","2","1","2","4","2","2","4","1","1","1","1","1","1","1","1","2","4","1","1","3","1","1","1","1","2","1","2","1","2","2","1","2","Natural science","Federal/national government","USACanada","S1",-1.37022340252653,-0.53496427784639,0.0115789733736371,"S1_1","S1_1","S1_2"
"4","3","1","1","2","2","2","1","2","4","5","5","2","2","4","2","2","2","2","3","1","2","4","2","4","2","1","1","1","1","1","1","1","1","1","2","2","1","1","2","Natural science","Federal/national government","USACanada","S1",1.58403285716676,-2.83708599391512,0.056501998014947,"S1_2","S1_4","S1_1"
"5","2","2","2","2","2","2","2","2","1","3","2","5","5","5","4","5","1","1","1","1","1","1","5","3","1","2","1","1","1","1","1","1","1","1","2","2","1","2","2","Natural science","Federal/national government","USACanada","S1",-0.503433021012281,1.49576767070714,0.0133292619404811,"S1_1","S1_1","S1_1"
"6","1","1","2","2","1","2","2","2","2","5","4","2","2","3","1","2","2","2","2","2","2","2","3","4","2","1","1","1","1","1","2","2","1","2","2","1","1","1","2","Natural science","Federal/national government","USACanada","S1",-0.279078005601141,-1.83721711009008,0.0184799757688749,"S1_2","S1_2","S1_2"
"7","1","1","2","2","1","1","2","2","2","3","5","3","4","4","2","2","1","1","1","1","1","5","1","3","2","1","2","1","1","1","1","1","1","1","2","1","2","2","2","Natural science","Federal/national government","USACanada","S1",0.871784721378404,-1.58662465792595,0.0175388400962977,"S1_1","S1_5","S1_1"
"8","2","2","2","2","1","1","1","2","2","4","3","5","5","5","2","3","1","1","1","2","4","5","1","3","4","2","3","1","1","1","1","1","1","2","2","2","1","1","2","Natural science","Federal/national government","USACanada","S1",3.44032746548199,-1.20808365706801,0.071149522358896,"S1_4","S1_5","S1_2"
"9","3","1","2","2","1","2","2","2","2","2","3","2","2","4","4","5","2","3","2","2","2","4","4","3","2","1","2","1","1","1","1","1","2","2","1","2","1","1","2","Natural science","Federal/national government","USACanada","S1",2.18363597645093,0.171740011348081,0.0256750799219502,"S1_2","S1_4","S1_2"
"10","2","1","2","2","1","1","2","2","4","4","3","4","4","5","2","2","1","1","1","1","1","2","2","3","2","1","2","1","1","1","1","2","1","2","2","2","1","2","2","Natural science","Federal/national government","USACanada","S1",-0.312714252205146,-3.13531503544659,0.0531293590762445,"S1_1","S1_2","S1_2"
"11","1","2","2","2","2","2","2","2","1","1","3","2","2","4","2","3","2","3","2","2","1","1","3","3","1","1","1","2","1","1","1","2","1","1","2","2","2","1","2","Natural science","Federal/national government","USACanada","S1",-1.51340268368439,1.48480525707516,0.0240550483412194,"S1_1","S1_1","S1_1"
"12","2","1","2","2","2","1","2","2","2","5","5","2","4","5","1","1","3","3","2","2","2","4","2","4","2","2","3","1","1","1","1","1","1","1","1","1","1","1","2","Natural science","Other","USACanada","S1",2.76656563726329,-2.40174142375331,0.0718287744725396,"S1_2","S1_4","S1_1"
"13","1","2","2","2","2","2","2","2","2","2","3","2","3","5","1","2","2","1","1","1","1","1","3","4","1","1","2","1","1","1","1","1","1","1","1","2","1","1","1","Natural science","Federal/national government","USACanada","S1",0.195221904605291,0.253634569972287,0.000548215914401987,"S1_1","S1_1","S1_1"
"14","2","2","2","1","2","2","2","2","1","1","4","4","4","4","5","5","1","1","1","4","5","5","2","1","3","1","2","1","1","1","2","1","1","1","1","2","1","1","2","Natural science","Federal/national government","USACanada","S1",2.92755340046342,4.10445977609845,0.136019203000489,"S1_5","S1_5","S1_1"
"15","1","2","2","2","1","2","2","2","2","3","4","4",NA,"4","2","3","2","2","4","2","2","4","2","4","2","2","2","1","1","1","1","1","1","1","1","1","1","1","2","Natural science","Federal/national government","USACanada","S1",3.4866085755136,-1.46582453879171,0.0765532336067854,"S1_2","S1_4","S1_1"
"16","1","1","2","2","1","2","2","1","1","5","2","3","4","2","2","2","2","3","3","2","1","2","4","3","2","1","2","1","1","1","1","2","1","1","1","2","1","2","2","Natural science","Federal/national government","USACanada","S1",0.243757583969126,-0.940359734991345,0.00505015261139347,"S1_1","S1_2","S1_1"
"18","1","1","1","2","1","2","1","2","2","4","3","4","2","5","1","1","1","1","1","1","1","2","1","5","1","1","1","1","1","1","1","1","1","1","1","2","1","1","2","Natural science","Federal/national government","USACanada","S1",-0.038044993222169,-2.2160618440065,0.026288448513113,"S1_1","S1_2","S1_1"
"20","3","2","2","2","1","2","2","2","2","4","2","1","1","2","2","1","1","1","2","1","1","5","1","5","2","2","1","2","1","1","1","2","2","1","2","2","2","2","1","Natural science","Federal/national government","USACanada","S1",-2.08096988266628,0.261109362405242,0.0235390563362884,"S1_1","S1_5","S1_1"
"21","2","2","2","2","1","2","2","1",NA,"3","2",NA,"1","1","1","1","3","3","5","1","1","2","3","1","1","2","1","2","1","1","2","2","2","2","2","2","2","2","1","Natural science","Private foundation","USACanada","S1",-4.76408497381893,3.03291781255115,0.170685699227893,"S1_1","S1_2","S1_2"
"22","2","2","2","1","1","2","2","2","2","4","4","2","1","1","2","2","1","1","1","1","1","4","1","3","2","1","1","1","1","1","1","2","2","2","2","2","2","1","1","Natural science","Federal/national government","USACanada","S1",-1.24446372085755,-0.234314126071742,0.00858158264457611,"S1_1","S1_4","S1_2"
"23","2","2","2","2","2","2","2","2","2","3","2","1","1","3","1","2","2","3","3","1","1","1","2","2","1","1","1","2","1","1","1","2","1","1","1","2","1","2","1","Natural science","Private foundation","USACanada","S1",-1.22897424053249,1.74785583820331,0.0244314889410529,"S1_1","S1_1","S1_1"
