question_code,question_text,question_subquestion_text,scoring_codes,additional_comments_1,additional_comments_2,original_question_long_string,,
counter field,counter field,NA,,,,counter field,,
V1,string identifier,NA,,,,string identifier,,
ID2,another counter field,NA,,,,another counter field,,
V8,date start,NA,,,,date start,,
V9,date end,NA,,,,date end,,
V10,unknown flag,NA,,,,unknown flag,,
Q1,Q1 consent,NA,,,,Q1 consent,,
Q2,Which one of the following best describes your primary work sector?,NA,"1 = Academic, 2 = Government, 3 = Commercial, 4 = Non-profit, 5 = Other",originally (Q9),,"9) Which one of the following best describes your primary work sector? /Academic/ Government/ Commercial/ Non-profit/ Other (please specify).  1 = Academic, 2 = Government, 3 = Commercial, 4 = Non-profit, 5 = Other",,
Q2_TEXT,Which one of the following best describes your primary work sector? Other (please specify),NA,,originally (Q9),,9) Which one of the following best describes your primary work sector? Other (please specify),,
Q3_1,What percentage of your work time is allocated to the following activities? (total to equal 100%),Administration,,originally (Q8),,8)  What percentage of your work time is allocated to the following activities? (total to equal 100%) Administration,,
Q3_2,What percentage of your work time is allocated to the following activities? (total to equal 100%),Outreach,,originally (Q8),,8)  What percentage of your work time is allocated to the following activities? (total to equal 100%) Outreach,,
Q3_3,What percentage of your work time is allocated to the following activities? (total to equal 100%),Policy support,,originally (Q8),,8)  What percentage of your work time is allocated to the following activities? (total to equal 100%) Policy support,,
Q3_4,What percentage of your work time is allocated to the following activities? (total to equal 100%),Research,,originally (Q8),,8)  What percentage of your work time is allocated to the following activities? (total to equal 100%) Research,,
Q3_5,What percentage of your work time is allocated to the following activities? (total to equal 100%),Teaching,,originally (Q8),,8)  What percentage of your work time is allocated to the following activities? (total to equal 100%) Teaching,,
Q3_6,What percentage of your work time is allocated to the following activities? (total to equal 100%),Data Management,,originally (Q8),,8)  What percentage of your work time is allocated to the following activities? (total to equal 100%) Data Management,,
Q3_7,What percentage of your work time is allocated to the following activities? (total to equal 100%),Other,,originally (Q8),,8)  What percentage of your work time is allocated to the following activities? (total to equal 100%) Other,,
Q3_7_TEXT,What percentage of your work time is allocated to the following activities? (total to equal 100%),Other text,,originally (Q8),,8)  What percentage of your work time is allocated to the following activities? Other text,,
Q4,Which one of the following best describes your primary subject discipline?  ,NA," 1 = Agriculture and Natural Resources, 2 = Atmospheric science, 3 = Biology, 4 = Business, 5 = Computer science, 6 = Ecology, 7 = Education, 8 = Engineering, 9 = Environmental science, 10 = Geology, 11 = Hydrology, 12 = Information science, 13 = Law, 14 = Medicine, 15 = Physical sciences, 16 = Psychology, 17 = Social sciences, 18 = Other",originally (Q10),,"10) Which one of the following best describes your primary subject discipline?  1 = Agriculture and Natural Resources, 2 = Atmospheric science, 3 = Biology, 4 = Business, 5 = Computer science, 6 = Ecology, 7 = Education, 8 = Engineering, 9 = Environmental science, 10 = Geology, 11 = Hydrology, 12 = Information science, 13 = Law, 14 = Medicine, 15 = Physical sciences, 16 = Psychology, 17 = Social sciences, 18 = Other","Geology, 11","= Hydrology, 12 = Information science, 13 = Law, 14 = Medicine, 15 = Physical sciences, 16 = Psychology, 17 = Social sciences, 18 = Other"
Q4_TEXT,Which one of the following best describes your primary subject discipline? Other text,NA,,originally (Q10),,"10) Which one of the following best describes your primary subject discipline? Text
",,
Q5,My current position is: ,NA,"1 = Administrator, 2 = Assistant Professor, 3 = Associate Professor, 4 = Professor, 5 = Graduate student , 6 = Undergraduate, 7 = Lecturer, 8 = Post-doctoral fellow, 9 = Researcher, 10 = Other",originally (Q35),,35) My current position is: ,,
Q5_TEXT,"My current position is - other, please specify",NA,,originally (Q35),,"35) My current position is - other, please specify",,
Q6,Which of the following countries is your primary place of employment?,NA,note code lookup table is in  /data/contry_codes/survey_one_and_twocsv,originally (Q36),,"36) Which of the following countries is your primary place of employment? (note code lookup table is in  /data/contry_codes/survey_one_and_two.csv)
",,
Q7,Please also indicate your primary state (or US territory) of employment.,NA,"note: there is not state code lookup sable, the USA states appear in alpha sort, however, territories may be at the end or embedded -- this is unknown",originally (Q37),,"37) Please also indicate your primary state (or US territory) of employment. (note: there is not state code lookup sable, the USA states appear in alpha sort, however, territories may be at the end or embedded -- this is unknown)",,
Q8,Year of birth – Please select from the list below.,NA,,originally (Q38),,38) Year of birth – Please select from the list below.,,
Q9_1,Which terms best describe the type of data you use?,Abiotic surveys,"1 = yes, 0 = no",originally (Q11),,"11) Which terms best describe the type of data you use? Abiotic surveys.  1 = yes, 0 = no",,
Q9_2,Which terms best describe the type of data you use?,Biotic surveys,"1 = yes, 0 = no",originally (Q11),,"11) Which terms best describe the type of data you use? Biotic surveys.  1 = yes, 0 = no
",,
Q9_3,Which terms best describe the type of data you use?,Data models,"1 = yes, 0 = no",originally (Q11),,"11) Which terms best describe the type of data you use? Data models.  1 = yes, 0 = no",,
Q9_4,Which terms best describe the type of data you use?,Experimental,"1 = yes, 0 = no",originally (Q11),,"11) Which terms best describe the type of data you use? Experimental.  1 = yes, 0 = no",,
