region,country,code,
USCanada,United States of America,2,
AsiaSEAsia,Afghanistan,3,
Europe,Albania,4, 
MENA,Algeria,5,
Europe,Andorra,6,
SubSAfrica,Angola,7,
Latin America,Antigua and Barbuda,8,
Latin America,Argentina,9,
Russia/FSU,Armenia,10,
AustraliaNZO,Australia,11,
Europe,Austria,12,
Russia/FSU,Azerbaijan,13,
Latin America,Bahamas,14,
MENA,Bahrain,15,
AsiaSEAsia,Bangladesh,16,
Latin America,Barbados,17,
Russia/FSU,Belarus,18,
Europe,Belgium,19,
Latin America,Belize,20,
SubSAfrica,Benin,21,
AsiaSEAsia,Bhutan,22,
Latin America,Bolivia,23,
Europe,Bosnia and Herzegovina,24,
SubSAfrica,Botswana,25,
Latin America,Brazil,26,
AsiaSEAsia,Brunei Darussalam,27,
Europe,Bulgaria,28,
SubSAfrica,Burkina Faso,29,
SubSAfrica,Burundi,30,
AsiaSEAsia,Cambodia,31,
SubSAfrica,Cameroon,32,
USCanada,Canada,33,
SubSAfrica,Cape Verde,34,
SubSAfrica,Central African Republic,35,
SubSAfrica,Chad,36,
Latin America,Chile,37,
AsiaSEAsia,China,38,
Latin America,Colombia,39,
SubSAfrica,Comoros,40,
SubSAfrica,Congo,41,
Latin America,Costa Rica,42,
SubSAfrica,Côte d'Ivoire,43,
Europe,Croatia,44,
Latin America,Cuba,45,
Europe,Cyprus,46,
Europe,Czech Republic,47,
AsiaSEAsia,Democratic People's Republic of Korea,48,
SubSAfrica,Democratic Republic of the Congo,49,
Europe,Denmark,50,
SubSAfrica,Djibouti,51,
Latin America,Dominica,52,
Latin America,Dominican Republic,53,
Latin America,Ecuador,54,
MENA,Egypt,55,
Latin America,El Salvador,56,
SubSAfrica,Equatorial Guinea,57,
SubSAfrica,Eritrea,58,
Europe,Estonia,59,
SubSAfrica,Ethiopia,60,
AustraliaNZO,Fiji,61,
Europe,Finland,62,
Europe,Macedonia,63,
Europe,France,64,
SubSAfrica,Gabon,65,
SubSAfrica,Gambia,66,
Russia/FSU,Georgia,67,
Europe,Germany,68,
SubSAfrica,Ghana,69,
Europe,Greece,70,
Latin America,Grenada,71,
Latin America,Guatemala,72,
SubSAfrica,Guinea,73,
SubSAfrica,Guinea-Bissau,74,
Latin America,Guyana,75,
Latin America,Haiti,76,
Latin America,Honduras,77,
Europe,Hungary,78,
Europe,Iceland,79,
AsiaSEAsia,India,80,
AsiaSEAsia,Indonesia,81,
MENA,Iran,82,
MENA,Iraq,83,
Europe,Ireland,84,
MENA,Israel,85,
Europe,Italy,86,
Latin America,Jamaica,87,
AsiaSEAsia,Japan,88,
MENA,Jordan,89,
Russia/FSU,Kazakhstan,90,
SubSAfrica,Kenya,91,
MENA,Kuwait,92,
Russia/FSU,Kyrgyzstan,93,
AsiaSEAsia,Laos,94,
Europe,Latvia,95,
MENA,Lebanon,96,
SubSAfrica,Lesotho,97,
SubSAfrica,Liberia,98,
MENA,Libya,99,
Europe,Liechtenstein,100,
Europe,Lithuania,101,
Europe,Luxembourg,102,
SubSAfrica,Madagascar,103,
SubSAfrica,Malawi,104,
AsiaSEAsia,Malaysia,105,
AsiaSEAsia,Maldives,106,
SubSAfrica,Mali,107,
Europe,Malta,108,
AustraliaNZO,Marshall Islands,109,
MENA,Mauritania,110,
Latin America,Mexico,112,
AustraliaNZO,Micronesia,113,
Europe,Monaco,114,
AsiaSEAsia,Mongolia,115,
Europe,Montenegro,116,
MENA,Morocco,117,
SubSAfrica,Mozambique,118,
AsiaSEAsia,Myanmar,119,
SubSAfrica,Namibia,120,
AsiaSEAsia,Nepal,121,
Europe,Netherlands,122,
AustraliaNZO,New Zealand,123,
Latin America,Nicaragua,124,
SubSAfrica,Niger,125,
SubSAfrica,Nigeria,126,
Europe,Norway,127,
MENA,Oman,128,
AsiaSEAsia,Pakistan,129,
AustraliaNZO,Palau,130,
Latin America,Panama,131,
AustraliaNZO,Papua New Guinea,132,
Latin America,Paraguay,133,
Latin America,Peru,134,
AsiaSEAsia,Philippines,135,
Europe,Poland,136,
Europe,Portugal,137,
MENA,Qatar,138,
AsiaSEAsia,Republic of Korea,139,
Russia/FSU,Republic of Moldova,140,
Europe,Romania,141,
Russia/FSU,Russian Federation,142,
SubSAfrica,Rwanda,143,
Latin America,Saint Kitts and Nevis,144,
Latin America,Saint Lucia,145,
Latin America,Saint Vincent and the Grenadines,146,
AustraliaNZO,Samoa,147,
Europe,San Marino,148,
SubSAfrica,Sao Tome and Principe,149,
MENA,Saudi Arabia,150,
SubSAfrica,Senegal,151,
Europe,Serbia,152,
SubSAfrica,Seychelles,153,
SubSAfrica,Sierra Leone,154,
AsiaSEAsia,Singapore,155,
Europe,Slovakia,156,
Europe,Slovenia,157,
AustraliaNZO,Solomon Islands,158,
SubSAfrica,Somalia,159,
SubSAfrica,South Africa,160,
Europe,Spain,161,
AsiaSEAsia,Sri Lanka,162,
SubSAfrica,Sudan,163,
SubSAfrica,South Sudan,164,
Latin America,Suriname,165,
SubSAfrica,Swaziland,166,
Europe,Sweden,167,
Europe,Switzerland,168,
MENA,Syrian Arab Republic,169,
