question_code, question_text
Q2,Which one of the following best describes your primary work sector?
Q2_5_Text,"Which one of the following best describes your primary work sector? If other, please specify:"
Q3_mod,Which one of the following best describes your primary subject discipline?
Q3_Other_text,"Which one of the following best describes your primary subject discipline? If you selected other, please specify"
Q4_mod,Which of the following best describes your primary type of research activity:
Q4_7_TEXT,Which of the following best describes your primary type of research activity: Other (specify)
Q5,Which of the following countries is your primary place of employment?
Q7,Year highest degree was attained: 
Q8,Gender
Q_D1_1,"Before this survey, had you heard of the NSF-funded DataONE project?"
Q_D1_2_1,How much do you know about DataONE on the following scale from 0 (nothing) to 5 (a great deal)? 
Q_D1_3_1,Which of the following DataONE products and/or services have you used or participated in? Educational materials 
Q_D1_3_2,Which of the following DataONE products and/or services have you used or participated in? Data search functions 
Q_D1_3_3,Which of the following DataONE products and/or services have you used or participated in? General information on the web site 
Q_D1_3_4,Which of the following DataONE products and/or services have you used or participated in? Data deposit 
Q_D1_3_5,Which of the following DataONE products and/or services have you used or participated in? Data analysis tools 
Q_D1_3_6,Which of the following DataONE products and/or services have you used or participated in? Data description tools 
Q_D1_3_7,Which of the following DataONE products and/or services have you used or participated in? Data Management Plan Tool (DMP Tool)  
Q_D1_3_8,Which of the following DataONE products and/or services have you used or participated in? Data citation information
Q_D1_3_1R_1,How useful was this service on a scale of 1 (poor) to 5 (excellent)? Educational materials 
Q_D1_3_2R_1,How useful was this service on a scale of 1 (poor) to 5 (excellent)? Data search functions 
Q_D1_3_3R_1,How useful was this service on a scale of 1 (poor) to 5 (excellent)? General information on the web site 
Q_D1_3_4R_1,How useful was this service on a scale of 1 (poor) to 5 (excellent)? Data deposit
Q_D1_3_5R_1,How useful was this service on a scale of 1 (poor) to 5 (excellent)? Data analysis tools
Q_D1_3_6R_1,How useful was this service on a scale of 1 (poor) to 5 (excellent)? Data description tools
Q_D1_3_7R_1,How useful was this service on a scale of 1 (poor) to 5 (excellent)? Data Management Plan Tool (DMP Tool)
D_D1_3_8R_1,How useful was this service on a scale of 1 (poor) to 5 (excellent)? Data citation information
Q_D1_4_4,"Which of the following DataONE products and/or services have you used or participated in? (Choose all that apply.)  General information on the web site  (About DataONE, Working Groups, Member Nodes"
Q_D1_4_5,"Which of the following DataONE products and/or services have you used or participated in? (Choose all that apply.)  DataONE educational materials (webinars, education modules, best practices, workshop/training)   "
Q_D1_4_6,Which of the following DataONE products and/or services have you used or participated in? (Choose all that apply.)  DataONE Search   
Q_D1_4_7,Which of the following DataONE products and/or services have you used or participated in? (Choose all that apply.)  DataONE MatLab Client  
Q_D1_4_8,Which of the following DataONE products and/or services have you used or participated in? (Choose all that apply.)  DataONE R Client  
Q_D1_4_9,Which of the following DataONE products and/or services have you used or participated in? (Choose all that apply.)  Data Management Plan Tool (DMP Tool)  
D1_4_1R_1,How useful was this service on a scale of 1 (poor) to 5 (excellent)? General information on the website  
D1_4_2R_1,How useful was this service on a scale of 1 (poor) to 5 (excellent)? DataONE educational materials  
D1_4_3R_1,How useful was this service on a scale of 1 (poor) to 5 (excellent)? DataONE Search 
D1_4_4R_1,How useful was this service on a scale of 1 (poor) to 5 (excellent)? DataONE MatLab Client
D1_4_5R_1,How useful was this service on a scale of 1 (poor) to 5 (excellent)? DataONE R Client  
D1_4_6R_1,How useful was this service on a scale of 1 (poor) to 5 (excellent)? Data Management Plan Tool (DMP Tool)
QD1_5,Are any of your data available through DataONE or through a member node?
Q9,Does your primary funding agency require you to provide a data management plan?
Q10_1,"What metadata standards do you currently use to describe your data, if any? (Choose all that apply.) DC (Dublin Core)  "
Q10_2,"What metadata standards do you currently use to describe your data, if any? (Choose all that apply.) DwC (Darwin Core)  "
Q10_3,"What metadata standards do you currently use to describe your data, if any? (Choose all that apply.) DIF (Directory Interchange Format)  "
Q10_4,"What metadata standards do you currently use to describe your data, if any? (Choose all that apply.) EML (Ecological Metadata Language)  "
Q10_5,"What metadata standards do you currently use to describe your data, if any? (Choose all that apply.) FGDC (Federal Geographic Data Committee)  CSDGM (content standard)  "
