"","16_12_09","06_16_13_1","06_16_13_2","06_16_13_3","06_16_13_4","06_16_13_5","06_16_13_6","06_16_13_7","07_17_14_1","07_17_14_2","07_17_14_3","08_20_16_1","08_20_16_2","08_22_18","09_31_20_1","09_31_20_2","09_31_20_3","09_31_20_4","09_31_20_5","10_32_19_1","10_32_19_2","10_32_19_3","10_32_19_4","10_32_19_5","10_32_19_6","10_32_19_7","10_32_19_8","11_19_15_1","11_19_15_2","11_19_15_3","11_19_15_4","11_19_15_5","11_19_15_6","11_19_15_7","11_19_15_8","11_19_15_9","11_19_15_10","11_19_15_11","work_sector","domain","funding_agency","region","survey_label","dim_1","dim_2","contrib"
"1","1","2","1","2","1","1","2","2","1","4","5","3","2","5","2","3","2","3","2","2","2","2","3","4","2","1","2","1","1","1","1","1","2","1","1","2","2","1","Government","Natural science","Federal/national government","USACanada","S1",0.756836848311387,-2.31776912916234,0.0213874415180514
"2","2","2","2","2","2","2","2","2","2","2","3","4","1","5","2","1","1","1","1","1","4","5","1","5","1","1","1",NA,"1","1","1","1","2","1","1",NA,"1","1","Government","Natural science","Federal/national government","USACanada","S1",0.629074164042306,1.66009276769429,0.0113384694643038
"3","2","2","1","2","1","2","2","2","1","2","4","2","2","4","1","1","1","1","1","1","1","1","2","4","1","1","3","1","1","1","1","2","1","2","1","2","2","1","Government","Natural science","Federal/national government","USACanada","S1",-1.69797058561855,0.552673840972076,0.0114712589568232
"4","3","1","1","2","2","2","1","2","4","5","5","2","2","4","2","2","2","2","3","1","2","4","2","4","2","1","1","1","1","1","1","1","1","1","2","2","1","1","Government","Natural science","Federal/national government","USACanada","S1",1.1837034528109,-2.08958284312293,0.0207494167885564
"5","2","2","2","2","2","2","2","2","1","3","2","5","5","5","4","5","1","1","1","1","1","1","5","3","1","2","1","1","1","1","1","1","1","1","2","2","1","2","Government","Natural science","Federal/national government","USACanada","S1",-1.03274488975698,2.11948855710485,0.0199985300298669
"6","1","1","2","2","1","2","2","2","2","5","4","2","2","3","1","2","2","2","2","2","2","2","3","4","2","1","1","1","1","1","2","2","1","2","2","1","1","1","Government","Natural science","Federal/national government","USACanada","S1",-0.424590371009617,-1.77964221603306,0.0120427471174923
"7","1","1","2","2","1","1","2","2","2","3","5","3","4","4","2","2","1","1","1","1","1","5","1","3","2","1","2","1","1","1","1","1","1","1","2","1","2","2","Government","Natural science","Federal/national government","USACanada","S1",0.362605501970131,-0.761694894514506,0.00256030206615989
"8","2","2","2","2","1","1","1","2","2","4","3","5","5","5","2","3","1","1","1","2","4","5","1","3","4","2","3","1","1","1","1","1","1","2","2","2","1","1","Government","Natural science","Federal/national government","USACanada","S1",2.46946679332464,-0.805396205207848,0.0242730121089092
"9","3","1","2","2","1","2","2","2","2","2","3","2","2","4","4","5","2","3","2","2","2","4","4","3","2","1","2","1","1","1","1","1","2","2","1","2","1","1","Government","Natural science","Federal/national government","USACanada","S1",1.91548281558585,-1.02792721490702,0.0170013915070992
"10","2","1","2","2","1","1","2","2","4","4","3","4","4","5","2","2","1","1","1","1","1","2","2","3","2","1","2","1","1","1","1","2","1","2","2","2","1","2","Government","Natural science","Federal/national government","USACanada","S1",-1.04230508381777,-2.38260144875802,0.0243315106476329
"11","1","2","2","2","2","2","2","2","1","1","3","2","2","4","2","3","2","3","2","2","1","1","3","3","1","1","1","2","1","1","1","2","1","1","2","2","2","1","Government","Natural science","Federal/national government","USACanada","S1",-1.54390182089928,0.575420322907772,0.0097666579216294
