question_code,question_text,question_subquestion_text,scoring_codes,additional_comments_1,additional_comments_2
Q1_1,What percentage of your work time is allocated to the following activities? (total to equal 100%),Admininstration,,,
Q1_2,What percentage of your work time is allocated to the following activities? (total to equal 100%),Outreach,,,
Q1_3,What percentage of your work time is allocated to the following activities? (total to equal 100%),Policy support,,,
Q1_4,What percentage of your work time is allocated to the following activities? (total to equal 100%),Research,,,
Q1_5,What percentage of your work time is allocated to the following activities? (total to equal 100%),Teaching,,,
Q1_6,What percentage of your work time is allocated to the following activities? (total to equal 100%),Other,,,
Q1_7,What percentage of your work time is allocated to the following activities? (total to equal 100%),"Other, please specify",,,
Q2,Which one of the following best describes your primary work sector?,NA,"academic, government, commercial, non-profit, other",responses coded as text strings in scoring_codes,
Q2_text,Which one of the following best describes your primary work sector?,"other, please specify",,,
Q3,Which one of the following best describes your primary subject discipline?,NA,"
Atmospheric science, Biology, Business, Computer science, Ecology, Education, Engineering, Environmental science, Geology, Hydrology, Information science, Law, Medicine, Physical sciences, Psychology, Social sciences, Other",responses coded as text strings in scoring_codes,
Q3_text,Which one of the following best describes your primary subject discipline?,"other, please specify","Yes, No",responses coded as text strings in scoring_codes,
Q4_1,Which terms best describe the type of data you use (check all that apply)?,"Abiotic surveys (soils, microclimate, hydrology, etc.)","Yes, No",responses coded as text strings in scoring_codes,
Q4_2,Which terms best describe the type of data you use (check all that apply)?,Biotic surveys,"Yes, No",responses coded as text strings in scoring_codes,
Q4_3,Which terms best describe the type of data you use (check all that apply)?,Data models,"Yes, No",responses coded as text strings in scoring_codes,
Q4_4,Which terms best describe the type of data you use (check all that apply)?,Experimental (involving some degree of manipulation),"Yes, No",responses coded as text strings in scoring_codes,
Q4_5,Which terms best describe the type of data you use (check all that apply)?,Interviews,"Yes, No",responses coded as text strings in scoring_codes,
Q4_6,Which terms best describe the type of data you use (check all that apply)?,Observational (no manipulation involved),"Yes, No",responses coded as text strings in scoring_codes,
Q4_7,Which terms best describe the type of data you use (check all that apply)?,Remote-sensed abiotic data (including meteorological data),"Yes, No",responses coded as text strings in scoring_codes,
Q4_8,Which terms best describe the type of data you use (check all that apply)?,Remote-sensed biotic data,"Yes, No",responses coded as text strings in scoring_codes,
Q4_9,Which terms best describe the type of data you use (check all that apply)?,Social Science Survey,"Yes, No",responses coded as text strings in scoring_codes,
Q4_10,Which terms best describe the type of data you use (check all that apply)?,Other (please specify),"Yes, No",responses coded as text strings in scoring_codes,
